¥Î·Ñ¶q(¸U¾·),NOX(ppm)
2.6176,30.13
2.3227,38.77
2.2039,30.54
1.765,31.25
1.9732,32.37
2.1195,32.22
2.1283,34.43
2.1769,34.57
2.2846,34.14
2.2133,32.58
2.4625,37.12
2.4772,36.83
2.3099,35.31
2.7485,36.84
2.9275,34.45
3.0645,34.09
2.5051,34.38
2.1531,37.16
1.738,34.58
1.6663,29.57
2.3694,34.6
2.2239,34.91
2.432,35.54
2.6432,34.6
3.1318,34.5
2.3648,34.58
2.4699,34.69
2.5812,31.45
2.7181,34.06
2.6554,35.15
2.6526,30.68
3.0263,32.48
2.4985,33.34
2.7172,35.91
2.7764,31.76
3.1546,27.99
3.0648,36.23
2.9833,36.07
2.7361,36.4
2.5183,37.74
2.2809,38.77
2.6918,35.52
3.028,35.35
2.3066,36.44
2.0669,36.33
1.9587,26.47
2.3503,25.33
2.3001,26.23
2.2023,26.38
2.5236,27.9
2.3309,26.42
2.2791,27.85
2.3705,25.79
2.2009,26.63
2.3107,25.87
2.5263,31.65
2.4739,28.47
2.2896,30.1
2.1505,30.46
1.8056,33.96
1.799,20.35
1.7475,32.72
2.7487,29.57
2.7674,34.54
2.3837,33.46
2.648,36.56
2.723,33.66
2.2331,33.17
2.1125,33.76
2.5026,35.59
2.4206,35.59
2.332,35.39
2.2941,34.35
2.8715,35.53
2.5675,35.11
2.5273,32.58
1.968,33.92
2.4329,31.96
2.421,38.89
2.5856,31.58
2.4684,34.57
2.0442,34.49
2.0769,34.13
1.6639,32.76
1.6074,33.18
2.0313,30.7
1.8584,32.24
2.0452,32.34
2.0773,30.36
2.0067,35.28
2.3375,33.93
2.413,34.75
2.3255,35.13
2.1765,34.98
2.1724,34.13
1.9378,33.69
1.8269,33.41
1.9709,34.42
2.0329,34.28
2.1168,33.55
2.5114,34.19
2.3749,33.92
1.8624,34.11
1.9231,33.34
2.5056,33.6
3.2497,33.86
3.2089,32.75
2.932,32.29
3.5026,34.14
2.463,33.46
2.6198,35.12
2.6204,29.74
2.5995,27.36
2.9515,33.75
2.7506,34.76
3.1646,27.58
3.502,31.11
2.6383,33.12
2.8199,32.82
2.8853,32.97
3.0176,32.75
4.0579,37.65
3.491,35.35
2.6089,34.11
2.8526,35.05
3.4865,36.24
4.0928,37.01
4.7548,37.36
3.9897,35.42
4.4661,38.03
4.451,37.49
3.9953,37.41
4.3729,36.92
4.4597,38.45
4.4633,39.03
5.1565,38.06
5.3994,37.9
4.1137,37.65
4.1105,35.76
4.9006,39.72
3.9011,38.29
3.6356,37.41
3.4334,36.34
3.9711,37.28
3.701,37.45
