"電廠","日期","用煤量(萬噸)","SO2(ppm)","NOX(ppm)","OP(%)","西屯AQI","沙鹿AQI","線西AQI"
"台中電廠      ","2022/12/06","2.6176","18.02","30.13","12.32","16        ","9         ","20        "
"台中電廠      ","2022/12/07","2.3227","15.9","38.77","13.39","30        ","17        ","30        "
"台中電廠      ","2022/12/08","2.2039","13.36","30.54","12.49","32        ","22        ","21        "
"台中電廠      ","2022/12/09","1.765","14.88","31.25","12.3","23        ","12        ","23        "
"台中電廠      ","2022/12/10","1.9732","16.12","32.37","12.36","20        ","19        ","21        "
"台中電廠      ","2022/12/11","2.1195","16.37","32.22","12.4","17        ","15        ","29        "
"台中電廠      ","2022/12/12","2.1283","15.5","34.43","12.4","18        ","16        ","28        "
"台中電廠      ","2022/12/13","2.1769","19.59","34.57","12.27","25        ","31        ","39        "
"台中電廠      ","2022/12/14","2.2846","16.91","34.14","12.43","23        ","29        ","37        "
"台中電廠      ","2022/12/15","2.2133","16.78","32.58","12.55","17        ","11        ","22        "
"台中電廠      ","2022/12/16","2.4625","19.06","37.12","13.14","31        ","17        ","20        "
"台中電廠      ","2022/12/17","2.4772","18.31","36.83","12.95","8         ","4         ","18        "
"台中電廠      ","2022/12/18","2.3099","12.57","35.31","12.2","59        ","51        ","53        "
"台中電廠      ","2022/12/19","2.7485","17.59","36.84","12.27","41        ","22        ","31        "
"台中電廠      ","2022/12/20","2.9275","21.34","34.45","11.94","62        ","53        ","66        "
"台中電廠      ","2022/12/21","3.0645","11.68","34.09","12.75","73        ","65        ","65        "
"台中電廠      ","2022/12/22","2.5051","14.52","34.38","12.04","42        ","43        ","43        "
"台中電廠      ","2022/12/23","2.1531","13.45","37.16","12.12","64        ","78        ","73        "
"台中電廠      ","2022/12/24","1.738","9.87","34.58","12.54","20        ","23        ","33        "
"台中電廠      ","2022/12/25","1.6663","8.73","29.57","12.94","36        ","39        ","44        "
"台中電廠      ","2022/12/26","2.3694","11.27","34.6","13.42","53        ","38        ","66        "
"台中電廠      ","2022/12/27","2.2239","12.53","34.91","12.6","42        ","31        ","54        "
"台中電廠      ","2022/12/28","2.432","13.23","35.54","12.52","39        ","41        ","84        "
"台中電廠      ","2022/12/29","2.6432","14.62","34.6","12.62","34        ","49        ","61        "
"台中電廠      ","2022/12/30","3.1318","14.35","34.5","12.92","23        ","24        ","26        "
"台中電廠      ","2022/12/31","2.3648","12.61","34.58","12.57","15        ","23        ","37        "
"台中電廠      ","2023/01/01","2.4699","13.58","34.69","12.57","40        ","36        ","45        "
"台中電廠      ","2023/01/02","2.5812","12.84","31.45","12.75","39        ","30        ","47        "
"台中電廠      ","2023/01/03","2.7181","16.81","34.06","12.74","33        ","34        ","53        "
"台中電廠      ","2023/01/04","2.6554","13.79","35.15","12.59","11        ","21        ","32        "
"台中電廠      ","2023/01/05","2.6526","11.86","30.68","12.94","29        ","36        ","47        "
"台中電廠      ","2023/01/06","3.0263","12.52","32.48","11.2","35        ","28        ","50        "
"台中電廠      ","2023/01/07","2.4985","16.89","33.34","12.56","37        ","44        ","48        "
"台中電廠      ","2023/01/08","2.7172","16.38","35.91","12.15","107       ","98        ","108       "
"台中電廠      ","2023/01/09","2.7764","18.72","31.76","12.34","118       ","86        ","104       "
"台中電廠      ","2023/01/10","3.1546","16.19","27.99","12.41","90        ","58        ","60        "
"台中電廠      ","2023/01/11","3.0648","18","36.23","13.05","48        ","29        ","53        "
"台中電廠      ","2023/01/12","2.9833","17.61","36.07","12.71","88        ","46        ","77        "
"台中電廠      ","2023/01/13","2.7361","17.36","36.4","12.38","95        ","89        ","102       "
"台中電廠      ","2023/01/14","2.5183","17.31","37.74","12.26","119       ","81        ","131       "
"台中電廠      ","2023/01/15","2.2809","17.68","38.77","12.44","18        ","18        ","31        "
"台中電廠      ","2023/01/16","2.6918","18.98","35.52","12.44","17        ","17        ","29        "
"台中電廠      ","2023/01/17","3.028","18.7","35.35","12.93","26        ","22        ","26        "
"台中電廠      ","2023/01/18","2.3066","17.35","36.44","12.5","39        ","43        ","52        "
"台中電廠      ","2023/01/19","2.0669","20.57","36.33","12.4","54        ","59        ","66        "
"台中電廠      ","2023/01/20","1.9587","12.06","26.47","12.48","66        ","70        ","70        "
"台中電廠      ","2023/01/21","2.3503","7.31","25.33","12.38","45        ","57        ","58        "
"台中電廠      ","2023/01/22","2.3001","8.62","26.23","12.43","54        ","50        ","61        "
"台中電廠      ","2023/01/23","2.2023","9.46","26.38","12.41","68        ","47        ","56        "
"台中電廠      ","2023/01/24","2.5236","8.92","27.9","12.5","16        ","28        ","35        "
"台中電廠      ","2023/01/25","2.3309","9.28","26.42","12.48","39        ","36        ","42        "
"台中電廠      ","2023/01/26","2.2791","10.24","27.85","12.55","46        ","32        ","38        "
"台中電廠      ","2023/01/27","2.3705","8.36","25.79","12.56","44        ","44        ","55        "
"台中電廠      ","2023/01/28","2.2009","7.09","26.63","12.53","53        ","53        ","53        "
"台中電廠      ","2023/01/29","2.3107","7.51","25.87","12.52","49        ","56        ","61        "
"台中電廠      ","2023/01/30","2.5263","11.26","31.65","12.77","54        ","44        ","55        "
"台中電廠      ","2023/01/31","2.4739","14.99","28.47","11.82","77        ","79        ","102       "
"台中電廠      ","2023/02/01","2.2896","19.86","30.1","12.49","88        ","72        ","86        "
"台中電廠      ","2023/02/02","2.1505","19.65","30.46","12.48","80        ","86        ","99        "
"台中電廠      ","2023/02/03","1.8056","15.64","33.96","12.51","49        ","50        ","58        "
"台中電廠      ","2023/02/04","1.799","10.86","20.35","12.51","49        ","50        ","61        "
"台中電廠      ","2023/02/05","1.7475","10.21","32.72","12.45","41        ","35        ","54        "
"台中電廠      ","2023/02/06","2.7487","14.8","29.57","12.78","34        ","25        ","42        "
"台中電廠      ","2023/02/07","2.7674","15.78","34.54","12.53","68        ","81        ","88        "
"台中電廠      ","2023/02/08","2.3837","16.96","33.46","12.42","51        ","40        ","53        "
"台中電廠      ","2023/02/09","2.648","15.38","36.56","13.58","40        ","38        ","48        "
"台中電廠      ","2023/02/10","2.723","14.47","33.66","12.66","74        ","68        ","99        "
"台中電廠      ","2023/02/11","2.2331","18.68","33.17","12.8","56        ","43        ","57        "
"台中電廠      ","2023/02/12","2.1125","19.54","33.76","12.61","94        ","84        ","94        "
"台中電廠      ","2023/02/13","2.5026","21.09","35.59","12.63","81        ","71        ","101       "
"台中電廠      ","2023/02/14","2.4206","20.29","35.59","12.59","30        ","29        ","31        "
"台中電廠      ","2023/02/15","2.332","18.32","35.39","12.73","40        ","42        ","46        "
"台中電廠      ","2023/02/16","2.2941","19.17","34.35","12.76","29        ","26        ","39        "
"台中電廠      ","2023/02/17","2.8715","15.77","35.53","12.62","66        ","52        ","64        "
"台中電廠      ","2023/02/18","2.5675","17","35.11","12.53","94        ","95        ","112       "
"台中電廠      ","2023/02/19","2.5273","15.69","32.58","12.55","92        ","74        ","96        "
"台中電廠      ","2023/02/20","1.968","16.35","33.92","12.73","84        ","88        ","99        "
"台中電廠      ","2023/02/21","2.4329","16.42","31.96","11.6","33        ","30        ","50        "
"台中電廠      ","2023/02/22","2.421","19.27","38.89","14.14","33        ","27        ","41        "
"台中電廠      ","2023/02/23","2.5856","15.98","31.58","12.65","58        ","44        ","60        "
"台中電廠      ","2023/02/24","2.4684","16.96","34.57","12.76","28        ","21        ","35        "
"台中電廠      ","2023/02/25","2.0442","17.2","34.49","12.68","54        ","63        ","83        "
"台中電廠      ","2023/02/26","2.0769","13.87","34.13","12.63","33        ","32        ","45        "
"台中電廠      ","2023/02/27","1.6639","16.48","32.76","12.61","25        ","29        ","31        "
"台中電廠      ","2023/02/28","1.6074","15.5","33.18","12.87","102       ","106       ","95        "
"台中電廠      ","2023/03/01","2.0313","15.43","30.7","12.77","92        ","72        ","80        "
"台中電廠      ","2023/03/02","1.8584","17.01","32.24","12.85","95        ","104       ","113       "
"台中電廠      ","2023/03/03","2.0452","14.57","32.34","12.79","53        ","43        ","56        "
"台中電廠      ","2023/03/04","2.0773","9.89","30.36","12.69","61        ","46        ","48        "
"台中電廠      ","2023/03/05","2.0067","16.73","35.28","12.67","59        ","54        ","57        "
"台中電廠      ","2023/03/06","2.3375","15.89","33.93","13.08","77        ","75        ","61        "
"台中電廠      ","2023/03/07","2.413","9.92","34.75","12.98","93        ","97        ","92        "
"台中電廠      ","2023/03/08","2.3255","15.94","35.13","12.57","102       ","98        ","110       "
"台中電廠      ","2023/03/09","2.1765","15.58","34.98","12.58","153       ","153       ","151       "
"台中電廠      ","2023/03/10","2.1724","16.36","34.13","12.66","104       ","94        ","98        "
"台中電廠      ","2023/03/11","1.9378","14.24","33.69","12.61","83        ","70        ","112       "
"台中電廠      ","2023/03/12","1.8269","15.25","33.41","14.17","110       ","106       ","113       "
"台中電廠      ","2023/03/13","1.9709","15.77","34.42","13.45","48        ","41        ","55        "
"台中電廠      ","2023/03/14","2.0329","14.41","34.28","13.56","44        ","36        ","44        "
"台中電廠      ","2023/03/15","2.1168","18.59","33.55","12.66","81        ","63        ","74        "
"台中電廠      ","2023/03/16","2.5114","13.99","34.19","12.73","111       ","87        ","108       "
"台中電廠      ","2023/03/17","2.3749","15.2","33.92","12.96","92        ","77        ","86        "
"台中電廠      ","2023/03/18","1.8624","15.17","34.11","12.69","22        ","22        ","24        "
"台中電廠      ","2023/03/19","1.9231","17.44","33.34","12.68","15        ","9         ","10        "
"台中電廠      ","2023/03/20","2.5056","13.47","33.6","13.45","26        ","          ","27        "
"台中電廠      ","2023/03/21","3.2497","15.54","33.86","12.73","90        ","65        ","93        "
"台中電廠      ","2023/03/22","3.2089","14.12","32.75","12.61","60        ","45        ","63        "
"台中電廠      ","2023/03/23","2.932","12.52","32.29","11.96","49        ","33        ","45        "
"台中電廠      ","2023/03/24","3.5026","14.53","34.14","13.31","71        ","60        ","76        "
"台中電廠      ","2023/03/25","2.463","11.71","33.46","12.6","70        ","45        ","58        "
"台中電廠      ","2023/03/26","2.6198","18.42","35.12","12.44","32        ","-         ","35        "
"台中電廠      ","2023/03/27","2.6204","11.79","29.74","13.56","25        ","27        ","38        "
"台中電廠      ","2023/03/28","2.5995","10.34","27.36","12.27","45        ","31        ","34        "
"台中電廠      ","2023/03/29","2.9515","13.2","33.75","12.43","47        ","32        ","40        "
"台中電廠      ","2023/03/30","2.7506","13.85","34.76","12.22","39        ","28        ","43        "
