"
Coal quantity",SO2(ppm)
2.6176,18.02
2.3227,15.9
2.2039,13.36
1.765,14.88
1.9732,16.12
2.1195,16.37
2.1283,15.5
2.1769,19.59
2.2846,16.91
2.2133,16.78
2.4625,19.06
2.4772,18.31
2.3099,12.57
2.7485,17.59
2.9275,21.34
3.0645,11.68
2.5051,14.52
2.1531,13.45
1.738,9.87
1.6663,8.73
2.3694,11.27
2.2239,12.53
2.432,13.23
2.6432,14.62
3.1318,14.35
2.3648,12.61
2.4699,13.58
2.5812,12.84
2.7181,16.81
2.6554,13.79
2.6526,11.86
3.0263,12.52
2.4985,16.89
2.7172,16.38
2.7764,18.72
3.1546,16.19
3.0648,18
2.9833,17.61
2.7361,17.36
2.5183,17.31
2.2809,17.68
2.6918,18.98
3.028,18.7
2.3066,17.35
2.0669,20.57
1.9587,12.06
2.3503,7.31
2.3001,8.62
2.2023,9.46
2.5236,8.92
2.3309,9.28
2.2791,10.24
2.3705,8.36
2.2009,7.09
2.3107,7.51
2.5263,11.26
2.4739,14.99
2.2896,19.86
2.1505,19.65
1.8056,15.64
1.799,10.86
1.7475,10.21
2.7487,14.8
2.7674,15.78
2.3837,16.96
2.648,15.38
2.723,14.47
2.2331,18.68
2.1125,19.54
2.5026,21.09
2.4206,20.29
2.332,18.32
2.2941,19.17
2.8715,15.77
2.5675,17
2.5273,15.69
1.968,16.35
2.4329,16.42
2.421,19.27
2.5856,15.98
2.4684,16.96
2.0442,17.2
2.0769,13.87
1.6639,16.48
1.6074,15.5
2.0313,15.43
1.8584,17.01
2.0452,14.57
2.0773,9.89
2.0067,16.73
2.3375,15.89
2.413,9.92
2.3255,15.94
2.1765,15.58
2.1724,16.36
1.9378,14.24
1.8269,15.25
1.9709,15.77
2.0329,14.41
2.1168,18.59
2.5114,13.99
2.3749,15.2
1.8624,15.17
1.9231,17.44
2.5056,13.47
3.2497,15.54
3.2089,14.12
2.932,12.52
3.5026,14.53
2.463,11.71
2.6198,18.42
2.6204,11.79
2.5995,10.34
2.9515,13.2
2.7506,13.85
3.1646,12.83
3.502,15.42
2.6383,18.21
2.8199,18.82
2.8853,15.55
3.0176,14.6
4.0579,16.66
3.491,19.7
2.6089,17.84
2.8526,14.73
3.4865,17.79
4.0928,18.84
4.7548,14.12
3.9897,15.46
4.4661,21.46
4.451,12.84
3.9953,13.49
4.3729,17.72
4.4597,20.26
4.4633,20.02
5.1565,18.46
5.3994,15.28
4.1137,12.55
4.1105,12.27
4.9006,17.98
3.9011,18.33
3.6356,14.82
3.4334,15.01
3.9711,16.28
3.701,17.97
3.0026,13.56
2.3145,12.56
3.3834,16.92
3.8923,11.82
3.4353,13.17
3.8176,13.14
3.1415,13.14
3.3877,19.62
2.6303,15.36
2.5992,16.62
2.4157,21.14
3.4755,15.84
3.7417,18.36
3.0651,17.46
2.9015,11.36
3.3894,19.03
3.3988,15.91
3.6671,14.98
3.9925,16.07
3.9153,15.07
3.558,20.31
3.4393,17.25
4.1137,19.32
3.0159,21.06
3.3474,16.84
3.5119,13.21
3.876,18.29
3.3074,13.19
3.4055,19.15
4.0371,14.67
4.3097,15.16
4.0442,23.17
3.8702,20.3
4.5419,17.05
4.5462,21.38
4.0327,17.53
4.185,14.35
4.1295,14.47
4.3848,10.66
4.6802,12.81
4.6544,16.57
4.2069,12.56
4.3437,16.94
4.2373,17.26
4.5686,13.4
4.6794,12.89
4.6727,12.3
4.8991,17.06
4.7881,19.01
4.499,14.06
4.3767,13.38
4.8565,12.98
5.0082,18.4
4.6155,14.38
4.3898,15.48
4.7474,17.75
4.4274,10.71
4.7885,12.91
4.9307,14.99
4.7686,15.32
4.6053,17.5
4.7751,20.3
4.4302,17.58
3.8681,14.99
4.2607,13.88
4.3189,13.89
4.7862,12.66
4.2407,13.28
4.1557,13.1
4.26,17.9
3.9693,14.53
4.0616,13.54
4.7212,12.83
4.9218,13.99
5.0081,15.29
4.9484,16.52
4.6391,14.34
4.6827,14.45
5.0465,15.12
4.5928,18.56
4.5345,17.63
4.8163,8.25
4.6203,17.87
4.4793,18.63
4.6123,18.57
4.6677,17.64
4.5994,14.56
4.7036,14.29
4.0498,14.55
3.6175,13.65
2.9136,12.82
3.0376,17.93
3.8295,12.98
3.4218,15.96
3.6363,15.12
3.8146,16.55
3.638,17.39
3.5195,16.73
3.9979,13.73
4.6243,17.91
4.6492,16.01
4.6048,15.57
4.4021,15.32
3.9442,15.79
3.3135,12.23
3.2298,16.54
4.0578,17.36
4.3476,13.1
4.0383,12.1
4.059,13.22
3.9074,12.02
3.5652,16.63
3.4189,15.54
4.1827,11.97
4.1272,20.52
4.0781,15.32
3.9503,15.81
4.1554,16.25
3.9616,16.11
3.5577,13.17
3.8188,12.56
4.5048,13.33
4.2928,15.76
4.4292,15.27
4.3212,11.47
4.4536,12.18
4.048,15.61
3.4329,12.76
3.553,12.7
4.6558,13.4
4.385,12.6
3.8986,13.37
3.5689,11.06
3.3636,12.8
3.016,12.34
3.2184,9.65
3.2015,13.35
3.4306,13.57
3.7896,15.01
3.5951,15.83
3.7969,14.06
4.2468,12.63
4.508,16.18
4.4586,16.33
4.6801,12.49
4.6134,12.05
4.2937,12.78
4.2151,11.13
4.3332,12.49
4.5395,12.56
4.3432,13.94
4.1729,14.74
3.8869,13.45
3.5273,16.46
2.8796,11.87
3.2872,10.25
2.4706,13.49
2.8737,14.2
2.5003,13.52
3.418,13.98
2.9951,14.98
2.7733,11.5
2.2052,11.9
2.4281,11.9
2.4218,11.37
2.2503,14.96
2.1347,16.46
2.2129,15.56
2.181,15.48
2.6431,14.03
2.4158,14.22
2.9224,14.2
3.1072,12.84
3.0324,12.74
2.1221,12.68
2.1252,11.45
2.6882,9.38
3.205,10.77
2.9725,15.34
2.7642,12.16
2.6191,9.84
2.2586,11.62
2.1869,9.19
2.2796,9.48
2.1767,10.91
2.6616,11.3
3.1631,12
2.9943,11.75
3.0819,13.12
3.0415,12.13
3.4179,7.34
3.3468,11.41
3.3942,12.62
3.4997,10.76
3.6866,13.1
2.5426,12.23
2.3181,13.8
2.2399,10.98
2.4241,13.43
2.1971,10.49
3.154,11.63
