用煤量(萬噸),SO2(ppm),NOX(ppm),OP(%)
2.6176,18.02,30.13,12.32
2.3227,15.9,38.77,13.39
2.2039,13.36,30.54,12.49
1.765,14.88,31.25,12.3
1.9732,16.12,32.37,12.36
2.1195,16.37,32.22,12.4
2.1283,15.5,34.43,12.4
2.1769,19.59,34.57,12.27
2.2846,16.91,34.14,12.43
2.2133,16.78,32.58,12.55
2.4625,19.06,37.12,13.14
2.4772,18.31,36.83,12.95
2.3099,12.57,35.31,12.2
2.7485,17.59,36.84,12.27
2.9275,21.34,34.45,11.94
3.0645,11.68,34.09,12.75
2.5051,14.52,34.38,12.04
2.1531,13.45,37.16,12.12
1.738,9.87,34.58,12.54
1.6663,8.73,29.57,12.94
2.3694,11.27,34.6,13.42
2.2239,12.53,34.91,12.6
2.432,13.23,35.54,12.52
2.6432,14.62,34.6,12.62
3.1318,14.35,34.5,12.92
2.3648,12.61,34.58,12.57
2.4699,13.58,34.69,12.57
2.5812,12.84,31.45,12.75
2.7181,16.81,34.06,12.74
2.6554,13.79,35.15,12.59
2.6526,11.86,30.68,12.94
3.0263,12.52,32.48,11.2
2.4985,16.89,33.34,12.56
2.7172,16.38,35.91,12.15
2.7764,18.72,31.76,12.34
3.1546,16.19,27.99,12.41
3.0648,18,36.23,13.05
2.9833,17.61,36.07,12.71
2.7361,17.36,36.4,12.38
2.5183,17.31,37.74,12.26
2.2809,17.68,38.77,12.44
2.6918,18.98,35.52,12.44
3.028,18.7,35.35,12.93
2.3066,17.35,36.44,12.5
2.0669,20.57,36.33,12.4
1.9587,12.06,26.47,12.48
2.3503,7.31,25.33,12.38
2.3001,8.62,26.23,12.43
2.2023,9.46,26.38,12.41
2.5236,8.92,27.9,12.5
2.3309,9.28,26.42,12.48
2.2791,10.24,27.85,12.55
2.3705,8.36,25.79,12.56
2.2009,7.09,26.63,12.53
2.3107,7.51,25.87,12.52
2.5263,11.26,31.65,12.77
2.4739,14.99,28.47,11.82
2.2896,19.86,30.1,12.49
2.1505,19.65,30.46,12.48
1.8056,15.64,33.96,12.51
1.799,10.86,20.35,12.51
1.7475,10.21,32.72,12.45
2.7487,14.8,29.57,12.78
2.7674,15.78,34.54,12.53
2.3837,16.96,33.46,12.42
2.648,15.38,36.56,13.58
2.723,14.47,33.66,12.66
2.2331,18.68,33.17,12.8
2.1125,19.54,33.76,12.61
2.5026,21.09,35.59,12.63
2.4206,20.29,35.59,12.59
2.332,18.32,35.39,12.73
2.2941,19.17,34.35,12.76
2.8715,15.77,35.53,12.62
2.5675,17,35.11,12.53
2.5273,15.69,32.58,12.55
1.968,16.35,33.92,12.73
2.4329,16.42,31.96,11.6
2.421,19.27,38.89,14.14
2.5856,15.98,31.58,12.65
2.4684,16.96,34.57,12.76
2.0442,17.2,34.49,12.68
2.0769,13.87,34.13,12.63
1.6639,16.48,32.76,12.61
1.6074,15.5,33.18,12.87
2.0313,15.43,30.7,12.77
1.8584,17.01,32.24,12.85
2.0452,14.57,32.34,12.79
2.0773,9.89,30.36,12.69
2.0067,16.73,35.28,12.67
2.3375,15.89,33.93,13.08
2.413,9.92,34.75,12.98
2.3255,15.94,35.13,12.57
2.1765,15.58,34.98,12.58
2.1724,16.36,34.13,12.66
1.9378,14.24,33.69,12.61
1.8269,15.25,33.41,14.17
1.9709,15.77,34.42,13.45
2.0329,14.41,34.28,13.56
2.1168,18.59,33.55,12.66
2.5114,13.99,34.19,12.73
2.3749,15.2,33.92,12.96
1.8624,15.17,34.11,12.69
1.9231,17.44,33.34,12.68
2.5056,13.47,33.6,13.45
3.2497,15.54,33.86,12.73
3.2089,14.12,32.75,12.61
2.932,12.52,32.29,11.96
3.5026,14.53,34.14,13.31
2.463,11.71,33.46,12.6
2.6198,18.42,35.12,12.44
2.6204,11.79,29.74,13.56
2.5995,10.34,27.36,12.27
2.9515,13.2,33.75,12.43
2.7506,13.85,34.76,12.22
3.1646,12.83,27.58,14.38
3.502,15.42,31.11,12.73
2.6383,18.21,33.12,12.26
2.8199,18.82,32.82,12.38
2.8853,15.55,32.97,12.38
3.0176,14.6,32.75,12.34
4.0579,16.66,37.65,13.34
3.491,19.7,35.35,12.35
2.6089,17.84,34.11,12.37
2.8526,14.73,35.05,12.36
3.4865,17.79,36.24,12.33
4.0928,18.84,37.01,12.37
4.7548,14.12,37.36,12.88
3.9897,15.46,35.42,12.44
4.4661,21.46,38.03,12.66
4.451,12.84,37.49,12.63
3.9953,13.49,37.41,12.23
4.3729,17.72,36.92,12.37
4.4597,20.26,38.45,12.63
4.4633,20.02,39.03,13.18
5.1565,18.46,38.06,13.7
5.3994,15.28,37.9,12.63
4.1137,12.55,37.65,12.62
4.1105,12.27,35.76,12.43
4.9006,17.98,39.72,13.36
3.9011,18.33,38.29,11.71
3.6356,14.82,37.41,12.33
3.4334,15.01,36.34,12.28
3.9711,16.28,37.28,12.33
3.701,17.97,37.45,12.28
3.0026,13.56,31.99,12.23
2.3145,12.56,37.54,12.31
3.3834,16.92,37.92,12.4
3.8923,11.82,36,12.5
3.4353,13.17,34.29,12.38
3.8176,13.14,36.84,12.43
3.1415,13.14,36.83,12.3
3.3877,19.62,34.91,12.78
2.6303,15.36,34.85,12.54
2.5992,16.62,33.16,12.59
2.4157,21.14,36.55,12.76
3.4755,15.84,34,12.57
3.7417,18.36,37.75,12.5
3.0651,17.46,35.89,12.32
2.9015,11.36,35.36,12.31
3.3894,19.03,34.92,12.25
3.3988,15.91,36.43,12.24
3.6671,14.98,33.63,12.21
3.9925,16.07,36.47,12.49
3.9153,15.07,37.35,12.35
3.558,20.31,34.96,12.5
3.4393,17.25,35.23,12.11
4.1137,19.32,36.14,12.29
3.0159,21.06,39.48,14.18
3.3474,16.84,35.41,12.51
3.5119,13.21,36.21,12.49
3.876,18.29,36.67,12.6
3.3074,13.19,36.38,12.53
3.4055,19.15,37.31,12.57
4.0371,14.67,35.51,12.68
4.3097,15.16,37.37,12.65
4.0442,23.17,36.23,12.69
3.8702,20.3,36.49,12.55
4.5419,17.05,38.2,12.65
4.5462,21.38,35.9,13.35
4.0327,17.53,35.55,12.46
4.185,14.35,38.38,13.16
4.1295,14.47,35.43,12.89
4.3848,10.66,35.18,12.86
4.6802,12.81,37.49,13.1
4.6544,16.57,38.25,13.45
4.2069,12.56,34.35,13.36
4.3437,16.94,38.61,13.19
4.2373,17.26,39.84,13.53
4.5686,13.4,36.25,13.11
4.6794,12.89,36.68,13.25
4.6727,12.3,35.56,13.21
